"Dealing with a sore throat and a constantly runny nose with lots of sneezing.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"My nose is completely blocked, I'm sneezing frequently, and my voice has gone hoarse.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"Just a general feeling of being unwell with a scratchy throat and some sneezing.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"Mainly a sore throat and a persistent cough that's been bothering me.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"Feeling pressure in my ears and face along with a blocked nose and hoarse voice.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"A mild headache with some earache and the usual runny nose and sneezing.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"Experiencing some muscle aches with a sore throat and blocked nose.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"Lost my sense of taste and smell, but otherwise just typical cold symptoms like sneezing.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"Mild eye irritation along with a runny nose and general unwell feeling.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"A low-grade fever around 38°C with the usual sore throat and runny nose.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"Mostly just nasal symptoms - runny nose, sneezing, and feeling blocked up.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"Hoarse voice and a cough that won't quit, along with general malaise.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"Ear pressure and facial discomfort are my main issues along with nasal congestion.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"A mild headache with sore throat and runny nose - typical cold symptoms.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",
"Just feeling generally unwell with some sneezing and a scratchy throat.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Common-Cold.html"",""Common cold"")",

"Lost my sense of smell and taste completely, which is very unusual for me.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"High fever with chills and a continuous dry cough that won't stop.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"Unexplained extreme tiredness and shortness of breath when doing simple tasks.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"Muscle aches all over my body that aren't from exercise, along with a fever.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"Complete loss of appetite and feeling sick to my stomach with a high temperature.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"An unusual, persistent headache along with loss of smell and taste.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"Shortness of breath at rest and a continuous cough that's concerning.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"Experiencing diarrhea and vomiting along with fever and fatigue.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"High fever with chills, extreme tiredness, and muscle pains everywhere.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"My sense of smell and taste have changed dramatically - everything tastes wrong.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"Feeling completely drained of energy with no appetite and a continuous cough.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"Unexplained muscle aches with headache and shortness of breath.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"High temperature with chills, feeling sick, and no desire to eat.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"Continuous dry cough with fever and complete loss of taste and smell.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",
"Severe fatigue that's unusual for me, along with shortness of breath and cough.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Coronavirus-COVID-19.html"",""Coronavirus (COVID-19)"")",

"Noticing significant behavioural changes including a lack of emotions and not recognizing others' needs.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Huntington-s-Disease.html"",""Huntington's disease"")",
"Experiencing periods of aggression, excitement, and anger that are out of character.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Huntington-s-Disease.html"",""Huntington's disease"")",
"Developing apathy that's causing me to appear lazy with no interest in personal hygiene.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Huntington-s-Disease.html"",""Huntington's disease"")",
"Finding it difficult to concentrate on tasks and handle complex situations at work.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Huntington-s-Disease.html"",""Huntington's disease"")",
"Increasing irritability and impulsiveness that's affecting my relationships.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Huntington-s-Disease.html"",""Huntington's disease"")",
"Developing uncontrollable jerking movements in my limbs and fidgety body movements.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Huntington-s-Disease.html"",""Huntington's disease"")",
"Having difficulty eating because my mouth and throat muscles aren't working properly.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Huntington-s-Disease.html"",""Huntington's disease"")",
"Experiencing communication problems where I can't put thoughts into words and my speech slurs.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Huntington-s-Disease.html"",""Huntington's disease"")",
"Developing obsessive behaviours and delusional thoughts that concern my family.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Huntington-s-Disease.html"",""Huntington's disease"")",
"Noticing balance problems and involuntary facial movements that are becoming more frequent.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Huntington-s-Disease.html"",""Huntington's disease"")",
"Experiencing a complete loss of interest in sex that's unusual for me.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Huntington-s-Disease.html"",""Huntington's disease"")",
"Having stubbornness and lack of self-awareness that's causing family conflicts.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Huntington-s-Disease.html"",""Huntington's disease"")",

"Experiencing severe chest pain or pressure that feels like an elephant sitting on my chest.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Heart-Attack.html"",""Heart attack"")",
"Sudden shortness of breath along with crushing chest pain that's radiating to my arm.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Heart-Attack.html"",""Heart attack"")",
"Sharp pain in my neck and jaw accompanied by chest discomfort and cold sweats.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Heart-Attack.html"",""Heart attack"")",
"Breaking out in a cold sweat and feeling nauseous with intense chest pressure.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Heart-Attack.html"",""Heart attack"")",
"Chest pain that's spreading to my left arm and I'm sweating profusely.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Heart-Attack.html"",""Heart attack"")",
"Feeling like my chest is being squeezed tightly with pain radiating to my jaw.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Heart-Attack.html"",""Heart attack"")",
"Sudden onset of nausea and cold sweats with overwhelming chest pressure.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Heart-Attack.html"",""Heart attack"")",
"Severe chest pain that's making it hard to breathe and I feel dizzy.",,"=HYPERLINK(""http://127.0.0.1:5500/medico/Diseases/Heart-Attack.html"",""Heart attack"")",
